int.rate,installment,log.annual.inc,dti,fico
0.1608,35.2,10.30895266,23.84,642
0.1608,246.38,12.1521443,22.47,647
0.16,787.53,11.26446411,19.34,682
0.164,126.4,10.30895266,29.6,677
0.1482,242.05,10.71441777,19.12,652
0.1482,172.89,10.6454249,18.51,652
0.138,149.96,10.73639668,16.7,662
0.1482,311.2,11.39414193,19.34,657
0.1703,570.69,11.35510138,25.32,672
0.1324,404.03,12.20607265,21.31,697
0.1229,236.81,10.1266311,15.55,672
0.1229,250.15,10.73639668,3.03,672
0.1387,231.98,11.51292546,14.64,657
0.1387,163.75,10.77895629,9.18,652
0.1671,385.27,10.91871823,26.52,667
0.0775,156.11,11.15625052,8.81,772
0.0838,204.84,10.78931908,4,742
0.0807,136.45,11.69524702,4,742
0.0933,80.69,11.60823564,10,712
0.0933,124.62,11.49272276,10,707
0.1154,164.98,10.91508846,10,697
0.1028,164.42,11.46163217,10,702
0.0964,32.11,9.392661929,10,697
0.0996,103.2,11.91839057,10,692
0.1028,113.39,12.10071213,10,687
0.1122,211.85,10.37349118,10,687
0.0964,208.66,9.903487553,10,712
0.0996,64.5,8.699514748,10,687
0.1249,42.65,10.59663473,10,707
0.0933,95.86,9.903487553,10,712
0.0901,95.42,10.46310334,10,717
0.0775,209.18,12.22098096,1,802
0.0775,218.55,11.39075783,1,802
0.0743,155.38,11.65442503,1,802
0.1122,344.87,11.00209984,19.5,742
0.0712,30.94,10.81977828,1.1,772
0.0838,81.94,8.779557456,6.46,722
0.0743,93.23,11.28978191,0.39,797
0.0743,77.69,11.10682015,10.36,787
0.0775,156.11,12.61153775,5.38,757
0.1407,34.21,10.1266311,16.27,642
0.1091,45.78,10.59663473,8.61,672
0.1122,164.23,10.23995979,3.51,672
0.0901,38.17,10.49127422,3.27,707
0.0964,141.25,10.30895266,3.72,697
0.1059,195.28,9.903487553,12.9,697
0.0712,61.87,11.91839057,5.6,802
0.147,345.18,10.81977828,7.22,652
0.0964,61,11.51292546,10,707
0.1312,180.57,8.29404964,15,662
0.1312,202.51,9.392661929,4.4,657
0.128,67.2,9.210340372,3.48,647
0.1312,226.98,11.00209984,13.16,672
0.1501,693.45,11.28978191,3.11,672
0.1059,325.46,10.91508846,17.96,727
